2309 silly decomposeActions install supports-color@2.0.0
2310 silly decomposeActions postinstall supports-color@2.0.0
2311 silly decomposeActions finalize supports-color@2.0.0
2312 silly decomposeActions fetch chalk@1.1.3
2313 silly decomposeActions extract chalk@1.1.3
2314 silly decomposeActions test chalk@1.1.3
2315 silly decomposeActions preinstall chalk@1.1.3
2316 silly decomposeActions build chalk@1.1.3
2317 silly decomposeActions install chalk@1.1.3
2318 silly decomposeActions postinstall chalk@1.1.3
2319 silly decomposeActions finalize chalk@1.1.3
2320 silly decomposeActions fetch babel-code-frame@6.22.0
2321 silly decomposeActions extract babel-code-frame@6.22.0
2322 silly decomposeActions test babel-code-frame@6.22.0
2323 silly decomposeActions preinstall babel-code-frame@6.22.0
2324 silly decomposeActions build babel-code-frame@6.22.0
2325 silly decomposeActions install babel-code-frame@6.22.0
2326 silly decomposeActions postinstall babel-code-frame@6.22.0
2327 silly decomposeActions finalize babel-code-frame@6.22.0
2328 silly decomposeActions fetch tns-core-modules-widgets@2.5.0
2329 silly decomposeActions extract tns-core-modules-widgets@2.5.0
2330 silly decomposeActions test tns-core-modules-widgets@2.5.0
2331 silly decomposeActions preinstall tns-core-modules-widgets@2.5.0
2332 silly decomposeActions build tns-core-modules-widgets@2.5.0
2333 silly decomposeActions install tns-core-modules-widgets@2.5.0
2334 silly decomposeActions postinstall tns-core-modules-widgets@2.5.0
2335 silly decomposeActions finalize tns-core-modules-widgets@2.5.0
2336 silly decomposeActions fetch to-fast-properties@1.0.2
2337 silly decomposeActions extract to-fast-properties@1.0.2
2338 silly decomposeActions test to-fast-properties@1.0.2
2339 silly decomposeActions preinstall to-fast-properties@1.0.2
2340 silly decomposeActions build to-fast-properties@1.0.2
2341 silly decomposeActions install to-fast-properties@1.0.2
2342 silly decomposeActions postinstall to-fast-properties@1.0.2
2343 silly decomposeActions finalize to-fast-properties@1.0.2
2344 silly decomposeActions fetch babel-types@6.9.0
2345 silly decomposeActions extract babel-types@6.9.0
2346 silly decomposeActions test babel-types@6.9.0
2347 silly decomposeActions preinstall babel-types@6.9.0
2348 silly decomposeActions build babel-types@6.9.0
